ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML
10940162,rough,50397697,F,T,F,T,-0.862026989,136.848999,110.9039993,2,2,28.42379951,30.17779922,0,F,,F,F,T,46.37049866,1208972-1-2,10/16/2017 6:31:08  AM ,,10/17/2017 5:50:15  AM ,,U
9953784,rough,45902171,F,F,T,,-0.298759997,386.8609924,203.8939972,1,2,195.0019989,13.20790005,0,F,T,F,T,F,27.43440056,1099514-11-1,8/27/2017 5:30:45  AM ,,8/28/2017 5:39:26  AM ,,U
8162229,rough,38030727,F,F,T,,-0.359654009,393.6539917,218.2400055,1,2,186.5070038,17.80170059,0,F,T,F,T,F,31.20389938,899090-11-1,6/18/2017 9:26:09  AM ,,6/19/2017 10:10:43  AM ,,U
8135488,rough,37904182,F,F,T,T,-0.228350997,428.3930054,249.5339966,2,2,191.6869965,33.15729904,0,F,,F,T,F,53.45119858,895455-13-2,6/17/2017 10:59:49  AM ,,6/19/2017 10:10:43  AM ,,U
8136437,rough,37872282,F,F,T,,0.016816201,362.8640137,144.871994,1,2,218.1649933,22.18530083,0,F,T,F,T,F,41.15269852,896858-8-1,6/17/2017 10:59:49  AM ,,6/18/2017 9:26:09  AM ,,U
10906426,rough,50155466,F,T,F,,-0.171263993,501.4639893,285.5849915,1,2,216.1970062,17.07819939,0,F,T,F,F,T,32.33399963,1203662-5-1,10/14/2017 5:54:28  AM ,,10/15/2017 10:55:08  AM ,,U
8874471,fairway,41108451,T,F,F,T,-0.216780007,214.9660034,90.42880249,2,5,124.5370026,10.24100018,0,F,,F,T,F,4.501339912,978688-2-2,7/15/2017 5:35:11  AM ,,7/16/2017 5:35:09  AM ,,U
9594132,rough,44366877,F,T,F,,-1.100419998,334.4760132,315.269989,1,2,19.20980072,104.1259995,0,F,T,F,F,T,7.421949863,1056889-18-1,8/13/2017 5:25:17  AM ,,8/20/2017 10:57:33  AM ,,U
9599952,fairway,44421065,T,F,F,T,-0.0495429,285.3190002,167.0690002,2,5,126.5910034,9.070770264,0,F,,F,F,T,7.608839989,1056889-9-2,8/13/2017 5:25:17  AM ,,8/20/2017 10:57:33  AM ,,U
9924376,rough,45860471,F,F,T,,-1.322540045,496.1629944,536.4060059,1,2,43.74750137,173.9790039,0,F,T,F,T,F,78.79769897,1099514-5-1,8/27/2017 5:30:45  AM ,,8/28/2017 5:39:26  AM ,,U
