ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML,Name,Date,Hole
9605131,rough,44373464,F,F,T,T,-0.495083004,206.9490051,122.4309998,2,2,97.48770142,0.466681004,0,F,,F,T,F,12.9939003,1058625-6-2,8/14/2017 5:20,,8/20/2017 10:57,,U,HARRISON ,"Apr. 24th, 2018",12
7685304,rough,35699854,F,F,T,,-0.088601001,298.5620117,114.0090027,1,2,192.048996,3.46401,0,F,T,F,T,F,13.31439972,834309-16-1,5/29/2017 10:28,,5/30/2017 7:38,,U,ADAM ,"Apr. 25th, 2018",13
6952129,rough,32535626,F,F,T,,0.025959101,356.8330078,138.654007,1,2,244.4759979,37.63650131,0,F,T,F,T,F,48.07099915,751109-18-1,4/23/2017 3:46,,4/24/2017 3:49,,U,LEWIS ,"Apr. 21th, 2018",14
8978916,rough,41630351,F,T,F,,-0.926348984,371.7210083,152.3540039,1,2,235.8059998,14.33710003,1,F,,F,F,T,35.08089828,990631-16-1,7/19/2017 5:48,,7/20/2017 7:11,,U,EDWARD ,"Apr. 23th, 2018",9
6909621,rough,32297262,F,T,F,T,-0.688664973,165.970993,92.76650238,2,2,79.04989624,17.72500038,0,T,,F,F,T,48.15670013,744167-9-2,4/20/2017 3:24,,4/21/2017 3:33,,U,LUKE ,"Apr. 25th, 2018",1
8849028,rough,41052110,F,T,F,,-0.186316997,401.0419922,195.8639984,1,2,205.3209991,17.69860077,0,F,T,F,F,T,28.34630013,975860-15-1,7/14/2017 5:45,,7/15/2017 5:35,,U,FREDDIE ,"Apr. 21th, 2018",2
9586094,sand,44405879,F,F,T,T,-0.951849997,174.1779938,55.68579865,2,4,118.4919968,5.615330219,0,F,,F,T,F,12.45740032,1059500-12-2,8/13/2017 5:25,,8/20/2017 10:57,,U,MATTHEW ,"Apr. 24th, 2018",9
10958416,fairway,50361663,T,F,F,T,0.080927901,334.1419983,179.1499939,2,5,162.0679932,8.56774044,0,F,,F,T,F,9.355420113,1208992-5-2,10/16/2017 6:31,,10/17/2017 5:50,,U,LIAM ,"Apr. 25th, 2018",16
8014238,rough,37304597,F,F,T,,-0.243903995,331.7229919,181.0480042,1,2,189.8159943,52.11569977,0,F,T,F,T,F,63.91960144,880684-18-1,6/11/2017 7:13,,6/12/2017 5:24,,U,ZACHARY ,"Apr. 21th, 2018",17
8135484,rough,37837684,F,F,T,T,-0.570878983,288.1860046,236.3119965,2,2,52.68170166,3.467050076,0,F,,F,T,F,18.70870018,895452-17-2,6/17/2017 10:59,,6/18/2017 9:26,,U,CALLUM ,"Apr. 24th, 2018",18
